action,src,dst,reason,attempt
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.6.md,docs/FINAL/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.6.md,docs/FINAL/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.6.md,docs/FINAL/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.6.md,docs/FINAL/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_LEXIQUE_REFERENCE_FINAL_FUSED_v0.2.6.md,docs/FINAL/🧬 MVP_QAIC_LEXIQUE_REFERENCE_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/MVP_QAIC_WEB_ARCHITECTURE_UI_PROCESS_FINAL_FUSED_v0.2.6.md,docs/FINAL/🌐 MVP_QAIC_WEB_ARCHITECTURE_UI_PROCESS_FINAL_FUSED_v0.2.6.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/REFERENCE_SOURCES_MANIFEST_v0.2.6.csv,docs/FINAL/🧾 REFERENCE_SOURCES_MANIFEST_v0.2.6.csv,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/REFERENCE_v0.2.6/REFERENCE_v0.2.6_FINAL_SEAL.md,docs/FINAL/✅ REFERENCE_v0.2.6_FINAL_SEAL.md,canonical_v026_root_promote_with_emoji,1
move,docs/FINAL/fusion_inbox_R6,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/fusion_inbox_R6,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/MVP_QAIC_DOCS_FINAL_FUSED.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_DOCS_FINAL_FUSED.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/MVP_QAIC_NOTICE_UTILISATION.css,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_NOTICE_UTILISATION.css,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/MVP_QAIC_NOTICE_UTILISATION.html,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_NOTICE_UTILISATION.html,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.csv,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/MVP_QAIC_SHEETS_COCKPIT_BLUEPRINT.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/REFERENCE_v0.2.6,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/REFERENCE_v0.2.6,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/WEBAPP_ARCHITECTURE_CDC,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🎨 MVP_QAIC_UI_UX_STITCH_FINAL_FUSED_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/💎 MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/📊 MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.3.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/📘 MVP_QAIC_CDC_CONTRACT_FINAL_FUSED_v0.2.3.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🗺️ MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🚀 MVP_QAIC_NOTICE_DOCUMENTAIRE_FINALE_v0.3.0.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🚀 MVP_QAIC_NOTICE_INTERFACE_DOCS_BINDING_v0.5.0.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🚀 MVP_QAIC_NOTICE_INTERFACE_DOCS_BINDING_v0.5.0.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.3.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.3.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🧊 MVP_QAIC_P203B4A_ARCHIVE_AUTHORIZATION_REVIEW_v0.4.0.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.5.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🧭 MVP_QAIC_INSTRUCTIONS_GOVERNANCE_FINAL_FUSED_v0.2.5.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🧱 MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🧾 MVP_QAIC_FINAL_DOCS_INDEX_v0.2.2.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/🧾 MVP_QAIC_FINAL_REFERENCE_INDEX_v0.3.0.md,superseded_or_working_input_after_v026_reference,1
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC/ARCHIVE/desktop.ini,docs/drive_reconcile/R15D_REPORTS/R15D_RESUME_UTF8_LOCAL_FINAL_DOCS_CLEANUP_20260630_225528/evidence/windows_noise/docs__FINAL__99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630__WEBAPP_ARCHITECTURE_CDC__ARCHIVE__desktop.ini.bin,windows_noise_desktop_ini_preserved_as_bin,1
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC/CURRENT/desktop.ini,docs/drive_reconcile/R15D_REPORTS/R15D_RESUME_UTF8_LOCAL_FINAL_DOCS_CLEANUP_20260630_225528/evidence/windows_noise/docs__FINAL__99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630__WEBAPP_ARCHITECTURE_CDC__CURRENT__desktop.ini.bin,windows_noise_desktop_ini_preserved_as_bin,1
move,docs/FINAL/99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630/WEBAPP_ARCHITECTURE_CDC/desktop.ini,docs/drive_reconcile/R15D_REPORTS/R15D_RESUME_UTF8_LOCAL_FINAL_DOCS_CLEANUP_20260630_225528/evidence/windows_noise/docs__FINAL__99_SUPERSEDED_BY_REFERENCE_v0.2.6_20260630__WEBAPP_ARCHITECTURE_CDC__desktop.ini.bin,windows_noise_desktop_ini_preserved_as_bin,1
