row_no,item,classification,source_column_classification,source_column_item,raw_json
1,00_ADMIN,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\00_ADMIN"", ""name"": ""00_ADMIN"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""00_ADMIN"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""1"", ""recursive_file_count"": ""35"", ""recursive_total_bytes"": ""269371"", ""sha256_if_file"": """", ""type"": ""folder""}"
2,01_DOCS,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\01_DOCS"", ""name"": ""01_DOCS"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""01_DOCS"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""249"", ""recursive_file_count"": ""1477"", ""recursive_total_bytes"": ""122663084"", ""sha256_if_file"": """", ""type"": ""folder""}"
3,02_SHEETS,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\02_SHEETS"", ""name"": ""02_SHEETS"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""02_SHEETS"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""5"", ""recursive_file_count"": ""48"", ""recursive_total_bytes"": ""16498564"", ""sha256_if_file"": """", ""type"": ""folder""}"
4,03_APPS_SCRIPT,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\03_APPS_SCRIPT"", ""name"": ""03_APPS_SCRIPT"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""03_APPS_SCRIPT"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""26"", ""recursive_file_count"": ""140"", ""recursive_total_bytes"": ""6009501"", ""sha256_if_file"": """", ""type"": ""folder""}"
5,04_APPSHEET,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\04_APPSHEET"", ""name"": ""04_APPSHEET"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""04_APPSHEET"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""4"", ""recursive_file_count"": ""20"", ""recursive_total_bytes"": ""29270"", ""sha256_if_file"": """", ""type"": ""folder""}"
6,05_LOOKER,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\05_LOOKER"", ""name"": ""05_LOOKER"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""05_LOOKER"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""2"", ""recursive_file_count"": ""5"", ""recursive_total_bytes"": ""820"", ""sha256_if_file"": """", ""type"": ""folder""}"
7,06_STITCH,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\06_STITCH"", ""name"": ""06_STITCH"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""06_STITCH"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""13"", ""recursive_file_count"": ""25"", ""recursive_total_bytes"": ""10308"", ""sha256_if_file"": """", ""type"": ""folder""}"
8,07_ANTIGRAVITY,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\07_ANTIGRAVITY"", ""name"": ""07_ANTIGRAVITY"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""07_ANTIGRAVITY"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""7"", ""recursive_file_count"": ""21"", ""recursive_total_bytes"": ""105845"", ""sha256_if_file"": """", ""type"": ""folder""}"
9,08_QAIC_BRIDGE,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\08_QAIC_BRIDGE"", ""name"": ""08_QAIC_BRIDGE"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""08_QAIC_BRIDGE"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""3"", ""recursive_file_count"": ""19"", ""recursive_total_bytes"": ""19603"", ""sha256_if_file"": """", ""type"": ""folder""}"
10,09_WEB_APP_IDE,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\09_WEB_APP_IDE"", ""name"": ""09_WEB_APP_IDE"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""09_WEB_APP_IDE"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""3"", ""recursive_file_count"": ""9"", ""recursive_total_bytes"": ""2448"", ""sha256_if_file"": """", ""type"": ""folder""}"
11,99_ARCHIVES,KEEP_ROOT_ACTIVE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""KEEP_ROOT_ACTIVE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\99_ARCHIVES"", ""name"": ""99_ARCHIVES"", ""operator_validation_required_for_move"": ""FALSE"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Expected top-level domain folder"", ""recursive_dir_count"": ""613"", ""recursive_file_count"": ""4717"", ""recursive_total_bytes"": ""61836774"", ""sha256_if_file"": """", ""type"": ""folder""}"
12,source,HOLD_REVIEW,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""HOLD_REVIEW"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\source"", ""name"": ""source"", ""operator_validation_required_for_move"": ""TRUE"", ""proposed_target_domain"": ""source"", ""reason"": ""Generic source folder: needs owner decision before move/archive"", ""recursive_dir_count"": ""1"", ""recursive_file_count"": ""25"", ""recursive_total_bytes"": ""19359067"", ""sha256_if_file"": """", ""type"": ""folder""}"
13,desktop.ini,MOVE_TO_99_ARCHIVES_CANDIDATE,classification,name,"{""apply_allowed_in_r17"": ""FALSE"", ""classification"": ""MOVE_TO_99_ARCHIVES_CANDIDATE"", ""current_path"": ""G:\\Mon Drive\\👥 JULIEN [Perso]\\📈 Trading JRb\\Solutions & Dev (Trading JRb)\\📈 QAIC\\🛠️ MVP QAIC — Crypto Signal OS\\desktop.ini"", ""name"": ""desktop.ini"", ""operator_validation_required_for_move"": ""TRUE"", ""proposed_target_domain"": ""99_ARCHIVES"", ""reason"": ""Windows/macOS noise"", ""recursive_dir_count"": """", ""recursive_file_count"": """", ""recursive_total_bytes"": ""246"", ""sha256_if_file"": ""b9629f88fcf26d1acc8c27e7118ed9b0ae9cb56c6294dcac7aacb0532aa200c0"", ""type"": ""file""}"
